,Name of Movie,Year of Release,Genre,Rating
878,Blue Velvet,1986,"Crime, Drama, Mystery            ",7.7
879,The Purple Rose of Cairo,1985,"Comedy, Fantasy, Romance            ",7.7
880,The Goonies,1985,"Adventure, Comedy, Family            ",7.7
881,The Color Purple,1985,Drama            ,7.7
882,Zelig,1983,Comedy            ,7.7
883,The Verdict,1982,Drama            ,7.7
884,Star Trek II: The Wrath of Khan,1982,"Action, Adventure, Sci-Fi            ",7.7
885,First Blood,1982,"Action, Adventure, Thriller            ",7.7
886,Ordinary People,1980,Drama            ,7.7
887,Airplane!,1980,Comedy            ,7.7
888,Halloween,1978,"Horror, Thriller            ",7.7
889,Love and Death,1975,"Comedy, War            ",7.7
890,Blazing Saddles,1974,"Comedy, Western            ",7.7
891,Serpico,1973,"Biography, Crime, Drama            ",7.7
892,La planète sauvage,1973,"Animation, Sci-Fi            ",7.7
893,Badlands,1973,"Action, Crime, Drama            ",7.7
894,Deliverance,1972,"Adventure, Drama, Thriller            ",7.7
895,The French Connection,1971,"Action, Crime, Drama            ",7.7
896,Dirty Harry,1971,"Action, Crime, Thriller            ",7.7
897,Wait Until Dark,1967,Thriller            ,7.7
898,The Dirty Dozen,1967,"Action, Adventure, War            ",7.7
899,Bonnie and Clyde,1967,"Action, Biography, Crime            ",7.7
900,Belle de jour,1967,"Drama, Romance            ",7.7
901,A Man for All Seasons,1966,"Biography, Drama, History            ",7.7
902,Zulu,1964,"Drama, History, War            ",7.7
903,Goldfinger,1964,"Action, Adventure, Thriller            ",7.7
904,The Longest Day,1962,"Action, Drama, History            ",7.7
905,Cape Fear,1962,"Drama, Thriller            ",7.7
906,Jules et Jim,1962,"Drama, Romance            ",7.7
907,The Magnificent Seven,1960,"Action, Adventure, Western            ",7.7
908,À bout de souffle,1960,"Crime, Drama            ",7.7
909,Invasion of the Body Snatchers,1956,"Drama, Horror, Sci-Fi            ",7.7
910,The Caine Mutiny,1954,"Drama, War            ",7.7
911,The Quiet Man,1952,"Comedy, Drama, Romance            ",7.7
912,The African Queen,1951,"Adventure, Drama, Romance            ",7.7
913,Key Largo,1948,"Action, Crime, Drama            ",7.7
914,Fantasia,1940,"Animation, Family, Fantasy            ",7.7
915,Scarface,1932,"Action, Crime, Drama            ",7.7
916,Dark Waters,2019,"Biography, Drama, History            ",7.6
917,The Mitchells vs the Machines,2021,"Animation, Adventure, Comedy            ",7.6
918,Searching,III 2018,"Drama, Horror, Mystery            ",7.6
919,Once Upon a Time... in Hollywood,2019,"Comedy, Drama            ",7.6
920,Guardians of the Galaxy Vol. 2,2017,"Action, Adventure, Comedy            ",7.6
921,Bridge of Spies,2015,"Drama, History, Thriller            ",7.6
922,Moana,I 2016,"Animation, Adventure, Comedy            ",7.6
923,What We Do in the Shadows,2014,"Comedy, Horror            ",7.6
924,Sicario,2015,"Action, Crime, Drama            ",7.6
925,Creed,II 2015,"Action, Drama, Sport            ",7.6
926,Leviafan,2014,"Crime, Drama            ",7.6
927,Hell or High Water,II 2016,"Crime, Drama, Thriller            ",7.6
928,Philomena,2013,"Biography, Comedy, Drama            ",7.6
929,Dawn of the Planet of the Apes,2014,"Action, Adventure, Drama            ",7.6
930,Serbuan maut,2011,"Action, Crime, Thriller            ",7.6
931,End of Watch,2012,"Action, Adventure, Crime            ",7.6
932,A Star Is Born,2018,"Drama, Music, Romance            ",7.6
933,True Grit,2010,"Drama, Western            ",7.6
934,Despicable Me,2010,"Animation, Adventure, Comedy            ",7.6
935,50/50,2011,"Comedy, Drama, Romance            ",7.6
936,Kick-Ass,2010,"Action, Comedy, Crime            ",7.6
937,Celda 211,2009,"Action, Crime, Drama            ",7.6
938,Moneyball,2011,"Biography, Drama, Sport            ",7.6
939,La piel que habito,2011,"Drama, Horror, Mystery            ",7.6
940,The Blind Side,2009,"Biography, Drama, Sport            ",7.6
941,Gake no ue no Ponyo,2008,"Animation, Adventure, Comedy            ",7.6
942,Superbad,2007,Comedy            ,7.6
943,Seven Pounds,2008,Drama            ,7.6
944,Eastern Promises,2007,"Crime, Drama, Thriller            ",7.6
945,Stardust,2007,"Adventure, Family, Fantasy            ",7.6
946,United 93,2006,"Action, Drama, History            ",7.6
947,The Last King of Scotland,2006,"Biography, Drama, History            ",7.6
948,Inside Man,2006,"Crime, Drama, Mystery            ",7.6
949,Gone Baby Gone,2007,"Crime, Drama, Mystery            ",7.6
950,Kung Fu Panda,2008,"Animation, Action, Adventure            ",7.6
951,Control,2007,"Biography, Drama, Music            ",7.6
952,300,2006,"Action, Drama            ",7.6
953,Match Point,2005,"Drama, Romance, Thriller            ",7.6
954,Watchmen,2009,"Action, Drama, Mystery            ",7.6
955,Lord of War,2005,"Crime, Drama            ",7.6
956,Saw,2004,"Horror, Mystery, Thriller            ",7.6
957,Un long dimanche de fiançailles,2004,"Drama, Mystery, Romance            ",7.6
958,The Station Agent,2003,"Comedy, Drama            ",7.6
959,21 Grams,2003,"Crime, Drama, Thriller            ",7.6
960,25th Hour,2002,Drama            ,7.6
961,The Butterfly Effect,2004,"Drama, Sci-Fi, Thriller            ",7.6
962,I Am Sam,2001,Drama            ,7.6
963,The Royal Tenenbaums,2001,"Comedy, Drama            ",7.6
964,Harry Potter and the Sorcerer's Stone,2001,"Adventure, Family, Fantasy            ",7.6
965,The Others,2001,"Horror, Mystery, Thriller            ",7.6
966,Traffic,2000,"Crime, Drama, Thriller            ",7.6
967,American Psycho,2000,"Crime, Drama, Horror            ",7.6
968,Rushmore,1998,"Comedy, Drama, Romance            ",7.6
969,Star Wars: Episode III - Revenge of the Sith,2005,"Action, Adventure, Fantasy            ",7.6
970,The Thin Red Line,1998,"Drama, History, War            ",7.6
971,Mulan,1998,"Animation, Adventure, Comedy            ",7.6
972,The Fifth Element,1997,"Action, Adventure, Sci-Fi            ",7.6
973,Dark City,1998,"Fantasy, Mystery, Sci-Fi            ",7.6
974,Shine,1996,"Biography, Drama, Music            ",7.6
975,Die Hard: With a Vengeance,1995,"Action, Adventure, Thriller            ",7.6
976,The Bridges of Madison County,1995,"Drama, Romance            ",7.6
977,My Cousin Vinny,1992,"Comedy, Crime            ",7.6
978,Barton Fink,1991,"Comedy, Drama, Thriller            ",7.6
979,The Godfather Part III,1990,"Crime, Drama            ",7.6
980,The Naked Gun: From the Files of Police Squad!,1988,"Comedy, Crime            ",7.6
981,RoboCop,1987,"Action, Crime, Sci-Fi            ",7.6
982,Lethal Weapon,1987,"Action, Crime, Thriller            ",7.6
983,The Fly,1986,"Drama, Horror, Sci-Fi            ",7.6
984,After Hours,I 1985,"Comedy, Crime, Drama            ",7.6
985,Mad Max 2,1981,"Action, Adventure, Sci-Fi            ",7.6
986,Close Encounters of the Third Kind,1977,"Drama, Sci-Fi            ",7.6
987,The Taking of Pelham One Two Three,1974,"Action, Crime, Thriller            ",7.6
988,Enter the Dragon,1973,"Action, Crime, Drama            ",7.6
989,The Odd Couple,1968,Comedy            ,7.6
990,The Jungle Book,1967,"Animation, Adventure, Comedy            ",7.6
991,Repulsion,1965,"Drama, Horror, Thriller            ",7.6
992,The Birds,1963,"Drama, Horror, Mystery            ",7.6
993,Les yeux sans visage,1960,"Drama, Horror            ",7.6
994,Rebel Without a Cause,1955,Drama            ,7.6
995,Sabrina,1954,"Comedy, Drama, Romance            ",7.6
996,From Here to Eternity,1953,"Drama, Romance, War            ",7.6
997,Snow White and the Seven Dwarfs,1937,"Animation, Adventure, Family            ",7.6
998,The 39 Steps,1935,"Crime, Mystery, Thriller            ",7.6
999,The Invisible Man,1933,"Horror, Sci-Fi            ",7.6
