,Name of Movie,Year of Release,Genre,Rating
230,Gone Girl,2014,"Drama, Mystery, Thriller            ",8.1
231,Ôkami kodomo no Ame to Yuki,2012,"Animation, Drama, Family            ",8.1
232,Hacksaw Ridge,2016,"Biography, Drama, History            ",8.1
233,Barfi!,2012,"Comedy, Drama, Romance            ",8.1
234,12 Years a Slave,2013,"Biography, Drama, History            ",8.1
235,Rush,I 2013,"Action, Biography, Drama            ",8.1
236,Ford v Ferrari,2019,"Action, Biography, Drama            ",8.1
237,Spotlight,I 2015,"Biography, Crime, Drama            ",8.1
238,Kahaani,2012,"Mystery, Thriller            ",8.1
239,Udaan,2010,Drama            ,8.1
240,The Help,2011,Drama            ,8.1
241,Prisoners,2013,"Crime, Drama, Mystery            ",8.1
242,Mad Max: Fury Road,2015,"Action, Adventure, Sci-Fi            ",8.1
243,A Wednesday,2008,"Action, Crime, Drama            ",8.1
244,Gran Torino,2008,Drama            ,8.1
245,Harry Potter and the Deathly Hallows - Part 2,2011,"Adventure, Family, Fantasy            ",8.1
246,Article 15,2019,"Crime, Drama, Mystery            ",8.1
247,Hachi: A Dog's Tale,2009,"Biography, Drama, Family            ",8.1
248,Mary and Max.,2009,"Animation, Comedy, Drama            ",8.1
249,How to Train Your Dragon,2010,"Animation, Action, Adventure            ",8.1
250,Chak De! India,2007,"Drama, Family, Sport            ",8.1
251,Into the Wild,2007,"Adventure, Biography, Drama            ",8.1
252,Rang De Basanti,2006,"Comedy, Crime, Drama            ",8.1
253,Million Dollar Baby,2004,"Drama, Sport            ",8.1
254,Hotel Rwanda,2004,"Biography, Drama, History            ",8.1
255,Ratatouille,2007,"Animation, Adventure, Comedy            ",8.1
256,Before Sunset,2004,"Drama, Romance            ",8.1
257,Black,2005,Drama            ,8.1
258,Munna Bhai M.B.B.S.,2003,"Comedy, Drama            ",8.1
259,Salinui chueok,2003,"Crime, Drama, Mystery            ",8.1
260,Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Action, Adventure, Fantasy            ",8.1
261,Dil Chahta Hai,2001,"Comedy, Drama, Romance            ",8.1
262,Catch Me If You Can,2002,"Biography, Crime, Drama            ",8.1
263,Her Sey Çok Güzel Olacak,1998,"Comedy, Drama, Thriller            ",8.1
264,Amores perros,2000,"Drama, Thriller            ",8.1
265,Hera Pheri,2000,"Action, Comedy, Crime            ",8.1
266,Sarfarosh,1999,"Action, Drama, Thriller            ",8.1
267,"Monsters, Inc.",2001,"Animation, Adventure, Comedy            ",8.1
268,Lagaan: Once Upon a Time in India,2001,"Drama, Musical, Sport            ",8.1
269,Festen,1998,Drama            ,8.1
270,The Iron Giant,1999,"Animation, Action, Adventure            ",8.1
271,The Big Lebowski,1998,"Comedy, Crime            ",8.1
272,Fa yeung nin wah,2000,"Drama, Romance            ",8.1
273,Trainspotting,1996,Drama            ,8.1
274,Fargo,1996,"Crime, Thriller            ",8.1
275,Eskiya,1996,"Crime, Drama, Thriller            ",8.1
276,Underground,1995,"Comedy, Drama, Fantasy            ",8.1
277,La haine,1995,"Crime, Drama            ",8.1
278,Before Sunrise,1995,"Drama, Romance            ",8.1
279,Trois couleurs: Rouge,1994,"Drama, Mystery, Romance            ",8.1
280,In the Name of the Father,1993,"Biography, Crime, Drama            ",8.1
281,Groundhog Day,1993,"Comedy, Drama, Fantasy            ",8.1
282,Ba wang bie ji,1993,"Drama, Music, Romance            ",8.1
283,Da hong deng long gao gao gua,1991,"Drama, History, Romance            ",8.1
284,Dom za vesanje,1988,"Comedy, Crime, Drama            ",8.1
285,Dead Poets Society,1989,"Comedy, Drama            ",8.1
286,Tonari no Totoro,1988,"Animation, Comedy, Family            ",8.1
287,Stand by Me,1986,"Adventure, Drama            ",8.1
288,Platoon,1986,"Drama, War            ",8.1
289,Jean de Florette,1986,"Comedy, Drama            ",8.1
290,The Terminator,1984,"Action, Sci-Fi            ",8.1
291,"Paris, Texas",1984,Drama            ,8.1
292,Gandhi,1982,"Biography, Drama            ",8.1
293,Fanny och Alexander,1982,Drama            ,8.1
294,Blade Runner,1982,"Action, Drama, Sci-Fi            ",8.1
295,Stalker,1979,"Drama, Sci-Fi            ",8.1
296,Höstsonaten,1978,"Drama, Music            ",8.1
297,The Deer Hunter,1978,"Drama, War            ",8.1
298,Rocky,1976,"Drama, Sport            ",8.1
299,Network,1976,Drama            ,8.1
300,The Message,1976,"Biography, Drama, History            ",8.1
301,Sholay,1975,"Action, Adventure, Comedy            ",8.1
302,Jaws,1975,"Adventure, Thriller            ",8.1
303,Barry Lyndon,1975,"Adventure, Drama, War            ",8.1
304,A Woman Under the Influence,1974,"Drama, Romance            ",8.1
305,Paper Moon,1973,"Comedy, Crime, Drama            ",8.1
306,The Exorcist,1973,Horror            ,8.1
307,Anand,1971,"Drama, Musical            ",8.1
308,Cool Hand Luke,1967,"Crime, Drama            ",8.1
309,Persona,1966,"Drama, Thriller            ",8.1
310,Andrei Rublev,1966,"Biography, Drama, History            ",8.1
311,The Sound of Music,1965,"Biography, Drama, Family            ",8.1
312,La battaglia di Algeri,1966,"Drama, War            ",8.1
313,The Man Who Shot Liberty Valance,1962,"Drama, Western            ",8.1
314,Jungfrukällan,1960,Drama            ,8.1
315,Inherit the Wind,1960,"Biography, Drama, History            ",8.1
316,Les quatre cents coups,1959,"Crime, Drama            ",8.1
317,Ben-Hur,1959,"Adventure, Drama            ",8.1
318,Kakushi-toride no san-akunin,1958,"Action, Adventure, Drama            ",8.1
319,Smultronstället,1957,"Drama, Romance            ",8.1
320,Det sjunde inseglet,1957,"Drama, Fantasy            ",8.1
321,Le notti di Cabiria,1957,Drama            ,8.1
322,Kumonosu-jô,1957,"Drama, History            ",8.1
323,Du rififi chez les hommes,1955,"Crime, Drama, Thriller            ",8.1
324,On the Waterfront,1954,"Crime, Drama, Thriller            ",8.1
325,Les diaboliques,1955,"Crime, Drama, Horror            ",8.1
326,Ace in the Hole,1951,"Drama, Film-Noir            ",8.1
327,White Heat,1949,"Action, Crime, Drama            ",8.1
328,The Third Man,1949,"Film-Noir, Mystery, Thriller            ",8.1
329,The Red Shoes,1948,"Drama, Music, Romance            ",8.1
330,The Best Years of Our Lives,1946,"Drama, Romance, War            ",8.1
331,Rebecca,1940,"Drama, Film-Noir, Mystery            ",8.1
332,The Grapes of Wrath,1940,Drama            ,8.1
333,The Wizard of Oz,1939,"Adventure, Family, Fantasy            ",8.1
334,Mr. Smith Goes to Washington,1939,"Comedy, Drama            ",8.1
335,La Grande Illusion,1937,"Drama, War            ",8.1
336,It Happened One Night,1934,"Comedy, Romance            ",8.1
337,All Quiet on the Western Front,1930,"Drama, War            ",8.1
338,The Circus,1928,"Comedy, Family, Romance            ",8.1
339,Sunrise: A Song of Two Humans,1927,"Drama, Romance            ",8.1
340,"Quo vadis, Aida?",2020,"Drama, History, War            ",8.0
